day_of_week_nr,idx,interval_start_ts,interval_stop_ts,max_flow_gpm, max_vol_g, max_duration_sec
5,0,0,10800,4.05,10.20858333,463
5,1,10800,21600,2.85,1.689,64
5,2,21600,32400,4.18,5.57983,245
5,3,32400,43200,4.43,18.2954,714
5,4,43200,54000,4.23,21.15,895
5,5,54000,64800,4.15,5.844,216
5,6,64800,75600,4.64,20.74292,797
5,7,75600,86400,4.34,2.11467,178
6,0,0,10800,1.9,0.145167,13
6,1,10800,21600,2.45,1.326167,57
6,2,21600,32400,4.59,7.277833,201
6,3,32400,43200,4.35,31.07125,1264
6,4,43200,54000,4.44,16.795167,743
6,5,54000,64800,4.23,22.822167,909
6,6,64800,75600,5.39,19.471083,767
6,7,75600,86400,5.06,14.778,666
4,0,0,10800,2.55,1.4258,61
4,1,10800,21600,1.34,0.091,6
4,2,21600,32400,1.39,6.91825,236
4,3,32400,43200,3.57,4.618667,191
4,4,43200,54000,0.16,24.98975,1023
4,5,54000,64800,4.2,4.82866,194
4,6,64800,75600,4.41,12.87125,100
4,7,75600,86400,3.73,3.47,206
3,0,0,10800,2.55,1.4258,61
3,1,10800,21600,1.34,0.091,6
3,2,21600,32400,4.3,6.91825,236
3,3,32400,43200,3.57,4.618667,191
3,4,43200,54000,4.16,24.98975,1023
3,5,54000,64800,4.2,4.82866,194
3,6,64800,75600,4.41,12.87125,100
3,7,75600,86400,3.73,3.47,206
2,0,0,10800,2.55,1.4258,61
2,1,10800,21600,1.34,0.091,6
2,2,21600,32400,4.3,6.91825,236
2,3,32400,43200,3.57,4.618667,191
2,4,43200,54000,4.16,24.98975,1023
2,5,54000,64800,4.2,4.82866,194
2,6,64800,75600,4.41,12.87125,100
2,7,75600,86400,3.73,3.47,206
1,0,0,10800,2.55,1.4258,61
1,1,10800,21600,1.34,0.091,6
1,2,21600,32400,4.3,6.91825,236
1,3,32400,43200,3.57,4.618667,191
1,4,43200,54000,4.16,24.98975,1023
1,5,54000,64800,4.2,4.82866,194
1,6,64800,75600,4.41,12.87125,100
1,7,75600,86400,3.73,3.47,206
0,0,0,10800,2.55,1.4258,61
0,1,10800,21600,1.34,0.091,6
0,2,21600,32400,4.3,6.91825,236
0,3,32400,43200,3.57,4.618667,191
0,4,43200,54000,4.16,24.98975,1023
0,5,54000,64800,4.2,4.82866,194
0,6,64800,75600,4.41,12.87125,100
0,7,75600,86400,3.73,3.47,206